PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
ctej18412-beige,1,1,1,1,Embroidered Kurta  ,3000,Jacquard,Beige,"Embroidered kurta with tassel detailing on the slevees
The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/ctej18412-beige.html,
ctej18411-green,1,1,1,1,Straight Embroidered Kurta ,3000,Jacquard,Green,"Straight embroidered shirt
The model is wearing size 8Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/ctej18411-green.html,
ctej18410-white,1,1,1,1,Embroidered Kurta ,3000,Jacquard,White,"Embroidered kurta with button detailing on the neck line
The model is wearing size 8Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctej18410-white.html,
ctej18409-black,1,1,1,1,Embroidered Kurta ,3000,Jacquard,Black,"Button-Down embroidered kurta.
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctej18409-black.html,
ctej18408-blue,1,1,1,1,Embroidered Kurta ,3000,Jacquard,Blue,"Button-Down high low kurta with embroidered detailing on the sleeves.
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctej18408-blue.html,
ctej18407-mustard,1,1,1,1,Embroidered Top  ,3000,Jacquard,Mustard,"Embroidered Top
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctej18407-mustard.html,
cte18407-navy,1,1,1,1,Basic Kurta ,2200,NULL,Navy Blue,"Basic top with adjustable draw string and tassel tie with zip at the back.
The model is wearing size 8.Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/cte18407-navy.html,
cte18406-black,1,1,1,1,Basic Kurta ,2200,NULL,Black,"Basic top with adjustable draw string and tassel tie with zip at the back.
The model is wearing size 8.Model Height: 168cm/5 feet 7 inches",Khaadi,https://www.khaadi.com/pk/cte18406-black.html,
cte18405-blue,1,1,1,1,Button-Down Top ,2200,NULL,Blue,"High- Low button down top.
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/cte18405-blue.html,
etej18427-black,1,1,1,1,Embroidered Front Open Kurta ,4000,Jacquard,Black,"Embroidered front open kurta with button detailing on the neck line.
The model is wearing size 8.Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etej18427-black.html,
etej18425-pink,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Pink,"Embriodered kurta with tassel detailing on the neck line
The model is wearing size 8Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etej18425-pink.html,
etej18423-black,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Black,"Embroidered Kurta.
The model is wearing size 8Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etej18423-black.html,
etej18422-off-white,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Off-White,"Embroidered high-low kurta with side pockets
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/etej18422-off-white.html,
etej18421-pink,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Pink,"Embroidered Kurta
The model is wearing size 8Model Height: 168cm/5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/etej18421-pink.html,
