fileName,a,b,c,d,e,f,g,h,i,j,k,l,m
local8 (45).jpg,0.002821223,0.045751288,0.921570116,0.513770954,0.198641877,0.36077712,0.502067657,0.912631609,0.84479885,0.111050063,0.764046981,0.496410328,0.983365736
local21 (31).jpg,0.000339765,0.143685001,0.572563644,0.367968227,0.070492773,0.511853294,0.297623889,0.97892361,0.976161236,0.036825419,0.933146832,0.253225755,0.882874054
local3 (33).jpg,0.002285915,0.36264526,0.442639988,0.736594415,0.13092745,0.599980208,0.553872124,0.946039027,0.90856173,0.070521336,0.921617939,0.411853447,0.9566578
local14 (13).jpg,0.002753933,0.420772196,0.405885746,0.792455782,0.103162014,0.634947409,0.578768203,0.980092816,0.949141047,0.04312082,0.981635978,0.281175888,0.871253394
local36 (29).jpg,0.000785271,0.134743353,0.407413358,0.248831818,0.121711621,0.423663835,0.180269821,0.928380721,0.916731393,0.08005477,0.865863485,0.311838484,0.886163435
local38 (29).jpg,0.001029144,0.065726507,0.691464261,0.226331531,0.173511041,0.528768483,0.195717958,0.942276071,0.893318874,0.11323803,0.803027813,0.441232781,0.952602243
local44 (16).jpg,0.002332138,0.015786141,0.960553972,0.291612928,0.290479852,0.44752979,0.290658222,0.93800778,0.843807989,0.170861934,0.671750775,0.566070906,0.988865552
local12 (12).jpg,0.590950446,0.043485766,0.898102136,0.399526457,0.905127728,0.803245619,0.386007908,0.677552425,0.554096592,0.789158525,0.511101189,0.960329331,1
local18 (31).jpg,0.0114059,0.33336527,0.359590653,0.613380817,0.231931563,0.540744877,0.443692618,0.748285228,0.649714617,0.283134698,0.556985214,0.788133592,0.995685619
local46 (18).jpg,0.004160937,0.147915338,0.789467284,0.707568891,0.256146745,0.711019708,0.644019413,0.997874916,0.924486365,0.107808147,0.886268197,0.45097785,0.97288912
local41 (18).jpg,0.001009975,0.042825629,0.805987445,0.224054783,0.132222267,0.647222507,0.206173033,0.936368486,0.898466839,0.084399204,0.797295515,0.360139477,0.939385847
local16 (13).jpg,0.014568351,0.103411458,0.850744804,0.685227344,0.315812102,0.310382067,0.645936781,0.854339837,0.78620712,0.170050741,0.750887662,0.434269475,0.954964871
local50 (28).jpg,0.007021665,0.108311019,0.345278233,0.187571147,0.151589105,0.265492657,0.132123137,0.720700181,0.677347056,0.165269439,0.659458337,0.471015574,0.944794371
local17 (43).jpg,0.000438614,0.128955747,0.688564109,0.432185672,0.103730734,0.560925293,0.371801368,1,0.966532047,0.060953854,0.889342787,0.299522656,0.893059296
local16 (33).jpg,0.052212656,0.007896277,0.666266967,0.025630635,0.297869098,0.81545387,0.021910688,0.586711343,0.501172738,0.456009582,0.454977387,0.841205065,0.986225964
local50 (13).jpg,0.000888882,0.130010811,0.56969812,0.33774027,0.124309215,0.64656696,0.274219644,0.946020131,0.924827249,0.078191475,0.870316262,0.367744147,0.920695607
local23 (27).jpg,0.000400931,0.278071525,0.283662567,0.433569929,0.099652719,0.57642829,0.289921733,0.97077179,0.975013718,0.052614177,0.946372236,0.325480232,0.903914495
local7 (44).jpg,0.00043118,0.11345416,0.782900577,0.530011784,0.089096098,0.46416432,0.480925295,0.998736271,0.985005967,0.035461331,0.925136756,0.236355922,0.893474878
local13 (31).jpg,0.009692742,0.334523389,0.359085107,0.615024619,0.212724774,0.538622937,0.444733783,0.738314234,0.652517315,0.252551325,0.5762397,0.725109602,0.991868108
local32 (12).jpg,0.000716522,0.050991574,0.838503319,0.313498834,0.098583148,0.59070386,0.293467359,0.975013911,0.92109909,0.077263112,0.803818094,0.430755105,0.969920438
local37 (29).jpg,0.006394413,0.061097566,0.832091081,0.363497451,0.363141175,0.801272173,0.339168742,0.960684349,0.858795089,0.175327859,0.781093638,0.611203417,0.993339283
local23 (29).jpg,0.00036281,0.173720134,0.457278551,0.346367933,0.076086861,0.682521475,0.258662434,0.973536114,0.985662059,0.035068628,0.951501813,0.208877866,0.828692088
local37 (30).jpg,0.049220116,0.001812626,0.984543831,0.055753784,0.436972776,0.094815189,0.05624471,0.532897826,0.483043027,0.436851979,0.417540445,0.372994715,0.798464747
local19 (30).jpg,0.000877928,0.073649519,0.618432041,0.205498239,0.085461824,0.324496065,0.169896782,0.905210411,0.907894395,0.062466548,0.850600751,0.253493265,0.871377872
local6 (30).jpg,0.000683023,0.08073319,0.811483127,0.432321609,0.122035766,0.638669319,0.398879755,0.982997312,0.939102504,0.060484418,0.870287257,0.38286721,0.959146574
local2 (36).jpg,0.03161256,0.00216037,1,0.116120312,0.392626998,0.062777519,0.118044892,0.577242876,0.521322294,0.375913578,0.445221733,0.390144797,0.838811715
